n,t_count,instance,n_query,mae,wall_seconds,n_nonzero
10,6,1,4000,0.5350018830104417,6.65372633934021,39506
10,6,1,8000,0.03264469662404958,14.0351881980896,7439
10,6,2,1000,0.24014390942428684,2.445286273956299,30107
10,6,2,2000,0.11767641632895587,4.457080125808716,19862
10,6,2,4000,0.09074055067574967,6.193582057952881,14664
10,6,2,8000,0.12505189662899685,15.702093839645386,16642
10,8,0,1000,0.27353422182744724,2.7914180755615234,34468
10,8,0,2000,0.1519839634105304,5.119192600250244,22051
10,8,0,4000,0.19889496577509413,8.763067722320557,24676
10,8,0,8000,0.04599545639419376,13.50443959236145,10895
10,8,1,1000,0.2878460185563082,2.196000337600708,35465
10,8,1,2000,0.11631133410754446,3.6032798290252686,21645
10,8,1,4000,0.1070524708543894,7.155531167984009,14404
10,8,1,8000,0.06976605981879172,17.890991926193237,12473
10,8,2,1000,0.12503776871523248,2.715130090713501,30923
10,8,2,2000,0.1670657984791579,3.7785115242004395,20838
10,8,2,4000,0.0732538780540638,9.909886598587036,13150
10,8,2,8000,0.05305412591471639,17.304927587509155,9914
10,10,0,1000,0.2586041992913005,2.2293453216552734,33526
10,10,0,2000,0.1333338576857558,3.8039886951446533,21055
10,10,0,4000,0.10666879817347277,7.7080934047698975,14931
10,10,0,8000,0.05358526230074023,15.479547262191772,10615
10,10,1,1000,0.34186324725472805,2.5229551792144775,34299
10,10,1,2000,0.12754173874177602,3.75909161567688,20995
10,10,1,4000,0.11726157006198487,7.28727650642395,18064
10,10,1,8000,0.03341512488667757,17.438247203826904,9175
10,10,2,1000,0.18641883904970613,2.746497869491577,30938
10,10,2,2000,0.44746121646130177,4.446822881698608,32294
10,10,2,4000,0.11656468247976955,8.450125217437744,16939
10,10,2,8000,0.0859725879884958,13.91834545135498,10761
10,12,0,1000,0.17428803730328227,2.210529088973999,32255
10,12,0,2000,0.8534039001463565,3.374302387237549,61767
10,12,0,4000,0.12693083081622275,6.430917501449585,15647
10,12,0,8000,0.06273196947395474,18.257907390594482,12549
10,12,1,1000,0.20166509777666217,2.3233237266540527,31695
10,12,1,2000,0.24146194285723918,5.369748830795288,31020
10,12,1,4000,0.09815294208507512,7.898622512817383,15511
10,12,1,8000,0.06565671331279621,12.813679695129395,10175
