unitary_idx,tau,N,distribution,mse,mae
4,0.25,50,stabilizer,0.087356,0.235043
4,0.25,50,haar,0.015501,0.102070
4,0.25,100,computational,0.054029,0.176742
4,0.25,100,stabilizer,0.064123,0.202114
4,0.25,100,haar,0.018475,0.110625
4,0.25,150,computational,0.046150,0.173395
4,0.25,150,stabilizer,0.050440,0.174341
4,0.25,150,haar,0.017560,0.104968
4,0.25,200,computational,0.043033,0.168567
4,0.25,200,stabilizer,0.035039,0.145972
4,0.25,200,haar,0.015518,0.100104
4,0.25,250,computational,0.035021,0.146136
4,0.25,250,stabilizer,0.032641,0.143304
4,0.25,250,haar,0.016278,0.099231
4,0.25,300,computational,0.026996,0.128311
4,0.25,300,stabilizer,0.025620,0.124149
4,0.25,300,haar,0.012012,0.087069
4,0.25,350,computational,0.022126,0.119542
4,0.25,350,stabilizer,0.018588,0.108664
4,0.25,350,haar,0.011774,0.086403
4,0.25,400,computational,0.018916,0.110098
4,0.25,400,stabilizer,0.029164,0.135786
4,0.25,400,haar,0.013099,0.089388
4,0.25,450,computational,0.018377,0.102991
4,0.25,450,stabilizer,0.017458,0.100750
4,0.25,450,haar,0.012823,0.089841
4,0.25,500,computational,0.017747,0.108932
4,0.25,500,stabilizer,0.019757,0.107692
4,0.25,500,haar,0.013109,0.091434
5,0.05,50,computational,0.110141,0.264679
5,0.05,50,stabilizer,0.069582,0.203999
5,0.05,50,haar,0.023818,0.116919
5,0.05,100,computational,0.040668,0.161906
5,0.05,100,stabilizer,0.038021,0.152746
5,0.05,100,haar,0.018420,0.108416
5,0.05,150,computational,0.022813,0.124282
5,0.05,150,stabilizer,0.025299,0.128223
5,0.05,150,haar,0.016835,0.106653
5,0.05,200,computational,0.023268,0.126229
5,0.05,200,stabilizer,0.022053,0.121743
5,0.05,200,haar,0.015465,0.101167
5,0.05,250,computational,0.015478,0.099656
5,0.05,250,stabilizer,0.016864,0.106418
5,0.05,250,haar,0.017087,0.103606
5,0.05,300,computational,0.020427,0.108634
5,0.05,300,stabilizer,0.017956,0.105656
5,0.05,300,haar,0.015931,0.101711
5,0.05,350,computational,0.019856,0.115639
5,0.05,350,stabilizer,0.016069,0.103445
5,0.05,350,haar,0.016437,0.104018
5,0.05,400,computational,0.017706,0.096992
5,0.05,400,stabilizer,0.016321,0.101679
5,0.05,400,haar,0.016022,0.101219
5,0.05,450,computational,0.015405,0.097221
5,0.05,450,stabilizer,0.013881,0.094413
5,0.05,450,haar,0.015837,0.103023
5,0.05,500,computational,0.018311,0.102219
5,0.05,500,stabilizer,0.015401,0.104313
5,0.05,500,haar,0.016459,0.101483
5,0.15,50,computational,0.174449,0.345817
5,0.15,50,stabilizer,0.101431,0.254597
5,0.15,50,haar,0.025494,0.130387
5,0.15,100,computational,0.046669,0.173893
5,0.15,100,stabilizer,0.045199,0.174080
5,0.15,100,haar,0.021817,0.121250
5,0.15,150,computational,0.035342,0.146947
5,0.15,150,stabilizer,0.028457,0.131894
5,0.15,150,haar,0.019595,0.116311
5,0.15,200,computational,0.019211,0.103343
5,0.15,200,stabilizer,0.025702,0.125897
5,0.15,200,haar,0.018184,0.109042
5,0.15,250,computational,0.023055,0.125359
5,0.15,250,stabilizer,0.029533,0.145148
5,0.15,250,haar,0.017607,0.104718
5,0.15,300,computational,0.023964,0.122912
5,0.15,300,stabilizer,0.018865,0.110531
5,0.15,300,haar,0.016476,0.105045
5,0.15,350,computational,0.014810,0.092333
5,0.15,350,stabilizer,0.019531,0.112187
5,0.15,350,haar,0.015564,0.099575
5,0.15,400,computational,0.021107,0.117468
5,0.15,400,stabilizer,0.019675,0.115117
5,0.15,400,haar,0.016804,0.104888
5,0.15,450,computational,0.016818,0.101065
5,0.15,450,stabilizer,0.019943,0.109594
5,0.15,450,haar,0.016052,0.101822
5,0.15,500,computational,0.018716,0.105608
5,0.15,500,stabilizer,0.017988,0.106738
5,0.15,500,haar,0.016848,0.104400
5,0.25,50,computational,0.111211,0.265446
5,0.25,50,stabilizer,0.091751,0.243726
5,0.25,50,haar,0.026200,0.132231
5,0.25,100,computational,0.051720,0.167581
5,0.25,100,stabilizer,0.059248,0.196691
5,0.25,100,haar,0.020016,0.115579
5,0.25,150,computational,0.035197,0.160135
5,0.25,150,stabilizer,0.035316,0.145773
5,0.25,150,haar,0.017925,0.109023
5,0.25,200,computational,0.027847,0.130653
5,0.25,200,stabilizer,0.038956,0.155129
5,0.25,200,haar,0.017339,0.101797
5,0.25,250,computational,0.021636,0.110381
5,0.25,250,stabilizer,0.030441,0.137689
5,0.25,250,haar,0.018275,0.111254
5,0.25,300,computational,0.018942,0.108918
5,0.25,300,stabilizer,0.023889,0.119648
5,0.25,300,haar,0.016966,0.105178
5,0.25,350,computational,0.027478,0.135211
5,0.25,350,stabilizer,0.019365,0.114669
5,0.25,350,haar,0.016451,0.104625
5,0.25,400,computational,0.020080,0.117541
5,0.25,400,stabilizer,0.017434,0.104701
5,0.25,400,haar,0.015828,0.101765
5,0.25,450,computational,0.021298,0.110260
5,0.25,450,stabilizer,0.017524,0.108968
5,0.25,450,haar,0.016934,0.102815
5,0.25,500,computational,0.015567,0.098214
5,0.25,500,stabilizer,0.018232,0.112108
5,0.25,500,haar,0.016906,0.105902
6,0.05,50,computational,0.062078,0.204651
6,0.05,50,stabilizer,0.066424,0.206434
6,0.05,50,haar,0.024604,0.128026
6,0.05,100,computational,0.049170,0.179479
6,0.05,100,stabilizer,0.030766,0.143520
6,0.05,100,haar,0.017397,0.105027
6,0.05,150,computational,0.028320,0.138161
6,0.05,150,stabilizer,0.030263,0.134678
6,0.05,150,haar,0.015757,0.101809
6,0.05,200,computational,0.016958,0.105858
6,0.05,200,stabilizer,0.024797,0.117486
6,0.05,200,haar,0.015224,0.099411
6,0.05,250,computational,0.015487,0.095682
6,0.05,250,stabilizer,0.018637,0.111540
6,0.05,250,haar,0.013507,0.093972
6,0.05,300,computational,0.014296,0.095660
6,0.05,300,stabilizer,0.020991,0.118502
6,0.05,300,haar,0.014814,0.099327
6,0.05,350,computational,0.015284,0.100736
6,0.05,350,stabilizer,0.014324,0.096567
6,0.05,350,haar,0.014920,0.098312
6,0.05,400,computational,0.018587,0.109475
6,0.05,400,stabilizer,0.014424,0.096326
6,0.05,400,haar,0.014384,0.096086
6,0.05,450,computational,0.009070,0.077746
6,0.05,450,stabilizer,0.015200,0.102027
6,0.05,450,haar,0.015190,0.097972
6,0.05,500,computational,0.011686,0.083492
6,0.05,500,stabilizer,0.014656,0.099722
6,0.05,500,haar,0.014949,0.096317
6,0.15,50,computational,0.083993,0.224572
6,0.15,50,stabilizer,0.077301,0.235191
6,0.15,50,haar,0.021757,0.119063
6,0.15,100,computational,0.027090,0.131503
6,0.15,100,stabilizer,0.039082,0.164514
6,0.15,100,haar,0.016282,0.100038
6,0.15,150,computational,0.029467,0.136853
6,0.15,150,stabilizer,0.035097,0.151583
6,0.15,150,haar,0.017529,0.106480
6,0.15,200,computational,0.018230,0.109436
6,0.15,200,stabilizer,0.022652,0.112843
6,0.15,200,haar,0.016061,0.102027
6,0.15,250,computational,0.021794,0.112754
6,0.15,250,stabilizer,0.023341,0.116859
6,0.15,250,haar,0.015446,0.099634
6,0.15,300,computational,0.018704,0.105142
6,0.15,300,stabilizer,0.020249,0.114699
6,0.15,300,haar,0.013161,0.090896
6,0.15,350,computational,0.013214,0.094471
6,0.15,350,stabilizer,0.020222,0.115064
6,0.15,350,haar,0.014319,0.094786
6,0.15,400,computational,0.017307,0.104957
6,0.15,400,stabilizer,0.017824,0.107813
6,0.15,400,haar,0.014843,0.096011
6,0.15,450,computational,0.014218,0.095244
6,0.15,450,stabilizer,0.016432,0.101691
6,0.15,450,haar,0.014182,0.092755
6,0.15,500,computational,0.011690,0.083143
6,0.15,500,stabilizer,0.015979,0.102981
